,TssA,TssAFlnk,TxFlnk,Tx,TxWk,EnhG,Enh,ZNF/Rpts,Het,TssBiv,BivFlnk,EnhBiv,ReprPC,ReprPCWk,Quies
2785,0.08943601862950937,0.1298264786557394,0.02596529573114788,0.0,0.314468581632791,0.0,0.314468581632791,0.0,0.049045558603279325,0.0,0.0,0.0,0.0,0.0,0.8799350220000115
2786,0.0425683012085547,0.03310867871776477,0.0,0.061487546190134565,0.5131845201253539,0.0,0.03310867871776477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8537309297937914
2787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.036986659897197176,0.0,0.0,0.0,0.0,0.2056458290284163,0.9779272876818933
2788,0.0017651460021686834,0.008825730010843417,0.0,0.0,0.028242336034698935,0.0,0.06707554808240997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.997307491225306
2789,0.0,0.012016604901867371,0.0,0.013518680514600792,0.04205811715653579,0.0,0.06008302450933685,0.007510378063667106,0.1547137881115424,0.0,0.0,0.0,0.02253113419100132,0.5858094889660344,0.791593847910513
2790,0.035862847748030606,0.08682584191628463,0.0,0.028312774537918903,0.6662939607923581,0.0,0.2680275989589656,0.0,0.041525402655614385,0.0,0.0,0.0,0.0,0.077388250403645,0.6832816255151095
2791,0.04051424326019904,0.22057754663886145,0.14405064270292992,0.6437263095787181,0.4434058845699561,0.37588214580295776,0.36462818934179136,0.15080301657962977,0.10128560815049761,0.0,0.0,0.0,0.0,0.0,0.10353639944273088
2792,0.04584926308098396,0.31245423729263144,0.00679248341940503,0.003396241709702515,0.573964848939725,0.003396241709702515,0.44830390568073203,0.05264174650038899,0.12566094325899307,0.0,0.0,0.0,0.0,0.0,0.5926441783430889
2793,0.12053453271892127,0.10199075845447184,0.018543774264449427,0.1390783069833707,0.9550043746191454,0.0,0.07881104062391006,0.009271887132224713,0.0324516049627865,0.0,0.004635943566112357,0.009271887132224713,0.009271887132224713,0.0973548148883595,0.16225802481393248
2794,0.05436558556133472,0.022240466820546024,0.0,0.029653955760728035,0.919272628582569,0.009884651920242677,0.11367349708279079,0.0716637264217594,0.022240466820546024,0.0,0.0,0.0,0.0,0.0,0.3632609580689184
2795,0.03807573463688906,0.031152873793818325,0.0,0.21114725571365753,0.4638316764857395,0.03461430421535369,0.09345862138145497,0.0,0.09692005180299035,0.0,0.006922860843070739,0.0034614304215353697,0.010384291264606108,0.29076015540897104,0.796128996953135
2796,0.015942362902608108,0.015942362902608108,0.0,0.002277480414658301,0.12753890322086486,0.0,0.03302346601254536,0.0,0.0,0.0,0.0,0.0,0.0034162206219874518,0.5306529366153842,0.8369740523869257
2797,0.1664786497741805,0.006403024991314635,0.0,0.02134341663771545,0.9817971653349108,0.002134341663771545,0.03414946662034472,0.07470195823200408,0.02134341663771545,0.0,0.0,0.0,0.0,0.0,0.02561209996525854
2798,0.0,0.1019515678021325,0.02133870023765564,0.5026449389314439,0.40780627120853,0.07112900079218547,0.08298383425754971,0.0,0.02133870023765564,0.0,0.0,0.0,0.0,0.0,0.7468545083179474
2799,0.0,0.0,0.0,0.0,0.03453810774879216,0.0,0.0782863775639289,0.0023025405165861437,0.24406929475813124,0.0,0.0,0.0,0.011512702582930719,0.8611501532032177,0.43748269815136737
2800,0.0,0.005414946331345292,0.0,0.0,0.0,0.0,0.048734516982107616,0.0,0.0,0.0,0.005414946331345292,0.010829892662690584,0.027074731656726456,0.9503230811510985,0.305944467721009
2801,0.12296056576130872,0.22030434698901147,0.005123356906721196,0.13320727957475112,0.5635692597393317,0.025616784533605982,0.37400505419064733,0.5430758321124469,0.40474519563097455,0.0,0.0,0.0,0.0,0.0,0.04098685525376957
2802,0.0762113858255616,0.04064607244029952,0.00508075905503744,0.553802736999081,0.4318645196781824,0.053347970077893124,0.03556531338526208,0.00508075905503744,0.0,0.0,0.0,0.0,0.0,0.0,0.7036851291226854
2803,0.02205730298442925,0.002594976821697559,0.0,0.04800707120140484,0.9925786342993164,0.0,0.016867349341034135,0.0,0.010379907286790236,0.0,0.0,0.0,0.0,0.0,0.1076915381004487
2804,0.07492923305164877,0.07492923305164877,0.0,0.20173255052366978,0.8050089397087394,0.0,0.0787717578235282,0.15370099087517697,0.19404750097991094,0.0,0.0,0.0,0.0,0.0,0.48223685887086776
2805,0.0033682493789218447,0.0,0.0,0.0,0.028630119720835675,0.0,0.013472997515687379,0.0,0.013472997515687379,0.0,0.0,0.0,0.0050523740683827666,0.6534403795108379,0.7561719855679541
2806,0.02276642379067308,0.08278699560244757,0.02276642379067308,0.19868878944587412,0.1924797647756906,0.12004114362354895,0.16971334098501747,0.0,0.07036894626208041,0.0,0.0,0.0,0.0,0.0,0.931353700527535
2807,0.02238520500940869,0.02238520500940869,0.011192602504704345,0.0,0.03357780751411304,0.0,0.03133928701317217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9983801434196277
2808,0.05006957013897527,0.01844668373541194,0.031622886403563324,0.013176202668151388,0.06061053227349638,0.013176202668151388,0.17129063468596803,0.0,0.042163848538084435,0.0,0.0,0.0,0.0,0.002635240533630277,0.9803094785104631
2809,0.0,0.007495878400008468,0.0,0.0,0.04747389653338697,0.0,0.029983513600033873,0.0,0.009994504533344625,0.0049972522666723125,0.0049972522666723125,0.009994504533344625,0.007495878400008468,0.8445356330676208,0.5322073664006012
2810,0.0,0.0,0.0,0.0,0.0,0.0,0.0042766469331016865,0.0,0.0755540958181298,0.0,0.0,0.0,0.0042766469331016865,0.8881170131074503,0.4533245749087788
2811,0.07361116677039106,0.3476082875268467,0.10223773162554313,0.17993840766095592,0.7238431399088454,0.2249230095761949,0.4089509265021725,0.2739971207564556,0.11859576868563004,0.0,0.0,0.0,0.0,0.0,0.0
2812,0.09390991024146425,0.05869369390091516,0.0,0.25042642731057135,0.3091201212114865,0.019564564633638384,0.043042042194004454,0.0,0.0,0.0,0.0,0.0,0.0,0.19564564633638384,0.8882312343671828
