,chr1,x1,x2,Label
1674,2,68935000,69155000,Inactive
1675,2,69155000,69182500,Boundary-Inactive
1676,2,69182500,69210000,Boundary-Inactive
1677,2,69210000,69535000,Inactive
1678,2,69535000,69635000,Boundary-Inactive
1679,2,70430000,70530000,Boundary-Inactive
1680,2,70530000,70880000,Inactive
1681,2,70880000,70980000,Boundary-Inactive
1682,2,74350000,74450000,Boundary-Mixed
1683,2,74450000,74625000,Mixed
1684,2,74625000,74725000,Boundary-Mixed
1685,2,74800000,74900000,Boundary-Inactive
1686,2,74900000,75115000,Inactive
1687,2,75115000,75215000,Boundary-Inactive
1688,2,85185000,85285000,Boundary-Inactive
1689,2,85285000,85530000,Inactive
1690,2,85530000,85630000,Boundary-Inactive
1691,2,85955000,86055000,Boundary-Mixed
1692,2,86055000,86310000,Mixed
1693,2,86310000,86367500,Boundary-Mixed
1694,2,86367500,86425000,Boundary-Inactive
1695,2,86425000,86630000,Inactive
1696,2,86630000,86730000,Boundary-Inactive
1697,2,97135000,97235000,Boundary-Mixed
1698,2,97235000,97480000,Mixed
1699,2,97480000,97580000,Boundary-Mixed
1700,2,98920000,99020000,Boundary-Active
1701,2,99020000,99225000,Active
1702,2,99225000,99325000,Boundary-Active
1703,2,101520000,101620000,Boundary-Mixed
1704,2,101620000,101840000,Mixed
1705,2,101840000,101940000,Boundary-Mixed
1706,2,111465000,111565000,Boundary-Inactive
1707,2,111565000,111845000,Inactive
1708,2,111845000,111945000,Boundary-Inactive
1709,2,112550000,112650000,Boundary-Inactive
1710,2,112650000,112810000,Inactive
1711,2,112810000,112910000,Boundary-Inactive
1712,2,113245000,113345000,Boundary-Mixed
1713,2,113345000,113495000,Mixed
1714,2,113495000,113595000,Boundary-Mixed
1715,2,118670000,118770000,Boundary-Inactive
1716,2,118770000,118955000,Inactive
1717,2,118955000,119055000,Boundary-Inactive
1718,2,121745000,121845000,Boundary-Inactive
1719,2,121845000,122090000,Inactive
1720,2,122090000,122190000,Boundary-Inactive
1721,2,127950000,128050000,Boundary-Mixed
1722,2,128050000,128250000,Mixed
1723,2,128250000,128267500,Boundary-Mixed
